s	n	p	ord	m	remainder
13	8192	3583	16	2	1026
13	8192	5119	8	1	3073
13	8192	6143	4	1	2049
13	8192	7681	16	1	511
13	8192	8191	2	1	1
14	16384	5119	16	3	1027
14	16384	6143	8	2	4098
14	16384	8191	2	2	2
14	16384	12289	4	1	4095
14	16384	13313	16	1	3071
14	16384	15359	16	1	1025
14	16384	15361	16	1	1023
15	32768	6143	16	5	2053
15	32768	8191	4	4	4
15	32768	12289	8	2	8190
15	32768	18433	16	1	14335
15	32768	20479	8	1	12289
16	65536	8191	8	8	8
16	65536	12289	16	5	4091
16	65536	20479	16	3	4099
16	65536	40961	8	1	24575
16	65536	61441	16	1	4095
17	131072	8191	16	16	16
17	131072	40961	16	3	8189
17	131072	65537	2	1	65535
17	131072	81919	8	1	49153
17	131072	114689	8	1	16383
17	131072	131071	2	1	1
18	262144	65537	4	3	65533
18	262144	131071	2	2	2
18	262144	163841	8	1	98303
19	524288	65537	8	7	65529
19	524288	131071	4	4	4
19	524288	524287	2	1	1
20	1048576	131071	8	8	8
20	1048576	524287	2	2	2
20	1048576	786431	4	1	262145
20	1048576	786433	4	1	262143
20	1048576	917503	8	1	131073
21	2097152	524287	4	4	4
21	2097152	786431	8	2	524290
21	2097152	786433	8	2	524286
21	2097152	1310719	8	1	786433
22	4194304	524287	8	8	8
23	8388608	7340033	8	1	1048575
24	16777216	14680063	8	1	2097153
28	268435456	167772161	8	1	100663295
29	536870912	469762049	8	1	67108863
31	2147483648	2147483647	2	1	1
32	4294967296	2147483647	2	2	2
32	4294967296	3221225473	4	1	1073741823
32	4294967296	3758096383	8	1	536870913
33	8589934592	2147483647	4	4	4
33	8589934592	3221225473	8	2	2147483646
34	17179869184	2147483647	8	8	8
36	68719476736	51539607551	4	1	17179869185
38	274877906944	206158430209	4	1	68719476735
40	1099511627776	824633720831	4	1	274877906945
43	8796093022208	6597069766657	4	1	2199023255551
